iter	MultiClass
0	1.093173317
1	1.088538933
2	1.084390522
3	1.079646427
4	1.075449112
5	1.071425016
6	1.067585471
7	1.064297539
8	1.060534967
9	1.057176373
10	1.054071879
11	1.051250372
12	1.048278487
13	1.045569525
14	1.043641504
15	1.041330294
16	1.038432496
17	1.035746273
18	1.034085776
19	1.03143113
20	1.028855189
21	1.026660189
22	1.024983604
23	1.022758712
24	1.020842605
25	1.019129745
26	1.017346033
27	1.015616065
28	1.013863026
29	1.011932104
30	1.010512046
31	1.009207957
32	1.007530829
33	1.006158007
34	1.004266046
35	1.002550672
36	1.001538343
37	1.00031269
38	0.999185518
39	0.9979009773
40	0.9967439471
41	0.9952115536
42	0.9939280812
43	0.9929502011
44	0.9917707702
45	0.9907011219
46	0.9891336737
47	0.9879921483
48	0.987069147
49	0.9863050376
50	0.9850793425
51	0.9837340137
52	0.9827009377
53	0.9815145234
54	0.9804116321
55	0.9793260192
56	0.9787671706
57	0.9780782071
58	0.9772633379
59	0.976362086
60	0.9754097796
61	0.9747024557
62	0.973907406
63	0.9728476232
64	0.9718660581
65	0.9706585139
66	0.9695652116
67	0.9687528418
68	0.9683449883
69	0.967844251
70	0.9671269975
71	0.9664366094
72	0.9656454272
73	0.9649596146
74	0.9640644452
75	0.963352505
76	0.9627484936
77	0.9616253791
78	0.9606822064
79	0.9601691975
80	0.9594025989
81	0.9584894898
82	0.957713837
83	0.9573449251
84	0.9567366332
85	0.9557966898
86	0.9551224777
87	0.9545274505
88	0.9537015528
89	0.952802518
90	0.9522866787
91	0.9516524159
92	0.9510735914
93	0.9504118423
94	0.9496580198
95	0.9492272943
96	0.9486434387
97	0.9481574895
98	0.9475795597
99	0.9468625477
100	0.9462846581
101	0.9454069394
102	0.9448487003
103	0.9443070792
104	0.943717378
105	0.9431287915
106	0.9426340801
107	0.9417126357
108	0.9414176515
109	0.940962642
110	0.9401931133
111	0.9397885084
112	0.9392112825
113	0.9386998846
114	0.9378354149
115	0.9373609534
116	0.9366907485
117	0.9360274655
118	0.9355265775
119	0.935112943
120	0.9348399513
121	0.9342820661
122	0.9334956934
123	0.9325834698
124	0.9319686783
125	0.931426179
126	0.9308697265
127	0.930219502
128	0.9295232759
129	0.9291905595
130	0.9282669766
131	0.9277916945
132	0.9272094956
133	0.9267284137
134	0.9264537588
135	0.926074937
136	0.9254724507
137	0.9248534001
138	0.9245316203
139	0.9237652859
140	0.9231954785
141	0.9226403859
142	0.9219400407
143	0.9213007351
144	0.9201866522
145	0.9198574164
146	0.9195790791
147	0.9190226211
148	0.9184511222
149	0.9178130877
150	0.9171565785
151	0.9165482062
152	0.9159738962
153	0.9151277815
154	0.9143651944
155	0.9141480294
156	0.9136013099
157	0.9132343553
158	0.9127999035
159	0.9123517206
160	0.9118085096
161	0.9114630541
162	0.9108363632
163	0.910647989
164	0.9101181172
165	0.9095979886
166	0.9090270491
167	0.9085958472
168	0.9081302431
169	0.907273275
170	0.9066003977
171	0.9058912734
172	0.9053411354
173	0.9049745106
174	0.9045946032
175	0.9038640677
176	0.9032728544
177	0.9029770011
178	0.9023978062
179	0.9020415119
180	0.9017718548
181	0.901137943
182	0.900658216
183	0.900067868
184	0.8995828626
185	0.8990983583
186	0.8985707027
187	0.8980946957
188	0.8977308944
189	0.8971798544
190	0.896662065
191	0.8959169601
192	0.8953314255
193	0.8949870372
194	0.8944300297
195	0.8939661295
196	0.8933754869
197	0.8930400386
198	0.892561634
199	0.8921108168
200	0.8917556049
201	0.8912477106
202	0.8907324047
203	0.8903227702
204	0.8898959273
205	0.8894055057
206	0.8888331562
207	0.8883687112
208	0.8879646167
209	0.8875572152
210	0.8871191204
211	0.8867615909
212	0.8863130555
213	0.8860462738
214	0.8852688884
215	0.8847079317
216	0.8842257173
217	0.8839181912
218	0.8833303542
219	0.8827117572
220	0.8822274046
221	0.8819358398
222	0.8817445991
223	0.8814612664
224	0.8813565234
225	0.880942657
226	0.8803840595
227	0.879790809
228	0.87947218
229	0.8788761266
230	0.8783716888
231	0.8777940173
232	0.8771005147
233	0.8766553647
234	0.8762297685
235	0.8755741457
236	0.8750930306
237	0.8743766901
238	0.8738021358
239	0.8732907142
240	0.8726690897
241	0.8722107729
242	0.8715625301
243	0.8712154861
244	0.8707292793
245	0.8702973965
246	0.869946615
247	0.8694319191
248	0.8690173135
249	0.8684777774
250	0.8679897285
251	0.8671090193
252	0.8666610876
253	0.8662473569
254	0.8658192982
255	0.865300993
256	0.8647933677
257	0.864142089
258	0.8636483585
259	0.8632366553
260	0.8628792925
261	0.862392893
262	0.8619207602
263	0.8614953082
264	0.8610435607
265	0.8604348013
266	0.8600014483
267	0.859471871
268	0.859137774
269	0.8585611539
270	0.8581711125
271	0.8576542122
272	0.8569677062
273	0.8564362587
274	0.8558240957
275	0.8553148382
276	0.8548587801
277	0.8544609183
278	0.8538025823
279	0.853291691
280	0.8529143613
281	0.8523769012
282	0.8518193107
283	0.8512501361
284	0.8506360086
285	0.8503615072
286	0.8499797481
287	0.8495492666
288	0.8492322659
289	0.8486913086
290	0.8481092649
291	0.8477940287
292	0.8472198496
293	0.8468143088
294	0.8466813021
295	0.8464300678
296	0.8460389098
297	0.8456341917
