Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
D1,24/08/2018,Bayern Munich,Hoffenheim,3,1,H,1,0,H,16,8,5,5,7,2,2,21,1,4,0,0
D1,25/08/2018,Fortuna Dusseldorf,Augsburg,1,2,A,1,0,H,9,14,5,7,7,5,11,10,1,0,0,0
D1,25/08/2018,Freiburg,Ein Frankfurt,0,2,A,0,1,A,22,10,6,2,6,4,7,12,1,2,0,0
D1,25/08/2018,Hertha,Nurnberg,1,0,H,1,0,H,10,12,3,3,8,4,13,10,2,2,0,0
D1,25/08/2018,M'gladbach,Leverkusen,2,0,H,0,0,D,17,13,7,3,9,5,10,10,1,2,0,0
D1,25/08/2018,Werder Bremen,Hannover,1,1,D,0,0,D,15,13,3,4,4,3,5,6,0,0,0,0
D1,25/08/2018,Wolfsburg,Schalke 04,2,1,H,1,0,H,11,9,7,4,7,2,16,11,5,3,0,1
D1,26/08/2018,Dortmund,RB Leipzig,4,1,H,3,1,H,10,10,5,7,7,9,8,11,2,2,0,0
D1,26/08/2018,Mainz,Stuttgart,1,0,H,0,0,D,8,12,3,3,6,3,15,6,1,2,0,0
D1,31/08/2018,Hannover,Dortmund,0,0,D,0,0,D,7,8,0,3,4,1,11,5,0,0,0,0
D1,01/09/2018,Augsburg,M'gladbach,1,1,D,1,0,H,18,7,7,2,9,4,12,12,1,2,0,0
D1,01/09/2018,Ein Frankfurt,Werder Bremen,1,2,A,0,1,A,5,11,1,6,8,3,6,11,1,2,1,0
D1,01/09/2018,Hoffenheim,Freiburg,3,1,H,0,1,A,20,9,7,4,6,4,13,14,1,2,0,0
D1,01/09/2018,Leverkusen,Wolfsburg,1,3,A,1,1,D,16,12,3,5,5,3,13,13,3,3,0,0
D1,01/09/2018,Nurnberg,Mainz,1,1,D,0,1,A,19,6,4,1,5,1,10,11,2,2,0,0
D1,01/09/2018,Stuttgart,Bayern Munich,0,3,A,0,1,A,4,20,0,6,0,12,3,5,0,0,0,0
D1,02/09/2018,RB Leipzig,Fortuna Dusseldorf,1,1,D,0,0,D,23,14,7,8,3,3,11,15,1,4,0,0
D1,02/09/2018,Schalke 04,Hertha,0,2,A,0,1,A,16,5,4,3,9,0,16,15,1,1,1,0
D1,14/09/2018,Dortmund,Ein Frankfurt,3,1,H,1,0,H,10,5,6,2,7,1,11,11,0,1,0,0
D1,15/09/2018,Bayern Munich,Leverkusen,3,1,H,2,1,H,18,3,5,1,9,1,4,12,0,1,0,1
D1,15/09/2018,Fortuna Dusseldorf,Hoffenheim,2,1,H,1,0,H,8,18,4,5,0,9,10,19,1,2,0,0
D1,15/09/2018,Mainz,Augsburg,2,1,H,0,0,D,22,13,7,4,5,4,9,16,1,2,0,0
D1,15/09/2018,M'gladbach,Schalke 04,2,1,H,1,0,H,15,15,4,6,6,6,5,12,0,4,0,0
D1,15/09/2018,RB Leipzig,Hannover,3,2,H,2,1,H,15,16,6,8,4,12,12,12,4,4,0,0
D1,15/09/2018,Wolfsburg,Hertha,2,2,D,0,0,D,15,9,6,5,7,2,10,13,1,2,0,0
D1,16/09/2018,Freiburg,Stuttgart,3,3,D,1,1,D,12,11,5,6,5,8,13,11,3,4,1,0
D1,16/09/2018,Werder Bremen,Nurnberg,1,1,D,1,0,H,14,11,2,2,4,7,17,5,2,0,0,0
D1,21/09/2018,Stuttgart,Fortuna Dusseldorf,0,0,D,0,0,D,10,19,1,7,2,9,8,19,0,2,0,0
D1,22/09/2018,Augsburg,Werder Bremen,2,3,A,1,2,A,21,12,7,7,7,4,10,11,2,2,0,0
D1,22/09/2018,Hertha,M'gladbach,4,2,H,2,1,H,16,17,7,4,8,7,9,13,2,2,0,0
D1,22/09/2018,Hoffenheim,Dortmund,1,1,D,1,0,H,17,8,5,2,4,4,12,10,2,1,0,1
D1,22/09/2018,Nurnberg,Hannover,2,0,H,0,0,D,14,9,6,3,9,3,16,7,3,1,0,1
D1,22/09/2018,Schalke 04,Bayern Munich,0,2,A,0,1,A,10,14,2,7,0,8,12,11,2,1,0,0
D1,22/09/2018,Wolfsburg,Freiburg,1,3,A,0,2,A,17,12,9,8,7,7,12,17,0,3,0,0
D1,23/09/2018,Ein Frankfurt,RB Leipzig,1,1,D,1,0,H,8,9,5,2,4,2,14,8,1,1,0,0
D1,23/09/2018,Leverkusen,Mainz,1,0,H,0,0,D,18,12,5,5,7,4,12,13,2,2,0,0
D1,25/09/2018,Bayern Munich,Augsburg,1,1,D,0,0,D,16,12,8,4,8,4,6,15,3,2,0,0
D1,25/09/2018,Freiburg,Schalke 04,1,0,H,0,0,D,15,15,4,3,3,3,12,11,2,4,0,0
D1,25/09/2018,Hannover,Hoffenheim,1,3,A,0,1,A,17,17,8,9,8,5,12,13,2,2,0,0
D1,25/09/2018,Werder Bremen,Hertha,3,1,H,2,0,H,14,12,6,2,2,3,13,9,1,3,0,0
D1,26/09/2018,Dortmund,Nurnberg,7,0,H,2,0,H,19,4,10,1,4,5,6,10,0,2,0,0
D1,26/09/2018,Fortuna Dusseldorf,Leverkusen,1,2,A,0,0,D,16,6,4,3,7,5,6,12,2,2,0,0
D1,26/09/2018,Mainz,Wolfsburg,0,0,D,0,0,D,11,12,2,4,5,11,13,15,1,2,0,0
D1,26/09/2018,M'gladbach,Ein Frankfurt,3,1,H,0,0,D,21,12,9,2,9,6,7,11,0,0,0,0
D1,26/09/2018,RB Leipzig,Stuttgart,2,0,H,1,0,H,18,9,8,0,4,2,11,8,2,3,0,0
D1,28/09/2018,Hertha,Bayern Munich,2,0,H,2,0,H,6,25,4,5,1,14,14,10,3,1,0,0
D1,29/09/2018,Hoffenheim,RB Leipzig,1,2,A,0,0,D,13,18,6,7,4,8,4,14,1,3,0,0
D1,29/09/2018,Leverkusen,Dortmund,2,4,A,2,0,H,14,16,6,10,6,8,11,12,1,1,0,0
D1,29/09/2018,Nurnberg,Fortuna Dusseldorf,3,0,H,1,0,H,10,13,6,4,4,4,10,9,0,2,0,0
D1,29/09/2018,Schalke 04,Mainz,1,0,H,1,0,H,15,15,2,5,4,5,22,21,2,2,0,0
D1,29/09/2018,Stuttgart,Werder Bremen,2,1,H,1,0,H,18,14,5,3,6,8,15,14,3,4,0,1
D1,29/09/2018,Wolfsburg,M'gladbach,2,2,D,1,1,D,13,10,3,3,6,3,6,14,2,2,0,0
D1,30/09/2018,Augsburg,Freiburg,4,1,H,2,0,H,21,13,10,6,5,3,12,8,0,1,0,0
D1,30/09/2018,Ein Frankfurt,Hannover,4,1,H,2,0,H,15,4,7,1,3,4,16,11,1,2,0,0
D1,05/10/2018,Werder Bremen,Wolfsburg,2,0,H,1,0,H,15,10,5,4,7,5,12,13,1,2,0,0
D1,06/10/2018,Bayern Munich,M'gladbach,0,3,A,0,2,A,14,7,3,3,1,3,7,4,2,2,0,0
D1,06/10/2018,Dortmund,Augsburg,4,3,H,0,1,A,20,12,8,6,9,6,5,29,1,7,0,0
D1,06/10/2018,Fortuna Dusseldorf,Schalke 04,0,2,A,0,0,D,9,15,3,5,4,6,17,15,3,1,0,0
D1,06/10/2018,Hannover,Stuttgart,3,1,H,2,0,H,15,11,6,5,5,7,16,11,1,2,0,0
D1,06/10/2018,Mainz,Hertha,0,0,D,0,0,D,23,11,3,1,5,6,12,9,0,2,0,0
D1,07/10/2018,Freiburg,Leverkusen,0,0,D,0,0,D,7,14,1,0,3,4,11,12,3,1,0,0
D1,07/10/2018,Hoffenheim,Ein Frankfurt,1,2,A,0,1,A,20,6,4,4,6,0,15,16,2,4,0,1
D1,07/10/2018,RB Leipzig,Nurnberg,6,0,H,4,0,H,18,3,8,0,6,1,11,12,0,1,0,1
D1,19/10/2018,Ein Frankfurt,Fortuna Dusseldorf,7,1,H,3,0,H,21,10,13,5,5,1,13,12,0,2,0,0
D1,20/10/2018,Augsburg,RB Leipzig,0,0,D,0,0,D,6,15,0,3,2,2,20,24,2,5,0,0
D1,20/10/2018,Leverkusen,Hannover,2,2,D,1,1,D,19,9,7,7,9,5,14,18,1,5,0,1
D1,20/10/2018,Nurnberg,Hoffenheim,1,3,A,1,0,H,7,20,2,12,1,7,8,9,4,2,0,0
D1,20/10/2018,Schalke 04,Werder Bremen,0,2,A,0,1,A,14,8,4,3,3,1,13,9,1,4,0,0
D1,20/10/2018,Stuttgart,Dortmund,0,4,A,0,3,A,13,12,5,4,10,2,7,5,0,0,0,0
D1,20/10/2018,Wolfsburg,Bayern Munich,1,3,A,0,1,A,8,13,1,11,2,9,9,12,2,4,0,1
D1,21/10/2018,Hertha,Freiburg,1,1,D,1,1,D,13,8,5,3,8,3,12,14,2,0,0,0
D1,21/10/2018,M'gladbach,Mainz,4,0,H,1,0,H,16,13,8,4,4,6,4,10,0,2,0,0
D1,26/10/2018,Freiburg,M'gladbach,3,1,H,1,1,D,13,11,7,2,3,10,9,12,1,1,0,0
D1,27/10/2018,Dortmund,Hertha,2,2,D,1,1,D,19,10,5,4,8,2,7,15,2,3,0,0
D1,27/10/2018,Fortuna Dusseldorf,Wolfsburg,0,3,A,0,1,A,8,18,1,6,4,9,12,11,3,6,0,0
D1,27/10/2018,Hannover,Augsburg,1,2,A,0,1,A,17,9,4,4,5,4,15,16,2,3,0,0
D1,27/10/2018,Hoffenheim,Stuttgart,4,0,H,0,0,D,22,6,10,0,6,3,11,9,1,1,0,1
D1,27/10/2018,Mainz,Bayern Munich,1,2,A,0,1,A,6,21,1,5,2,7,13,6,3,1,0,0
D1,28/10/2018,Nurnberg,Ein Frankfurt,1,1,D,0,0,D,10,10,3,2,8,6,11,13,2,3,0,0
D1,28/10/2018,RB Leipzig,Schalke 04,0,0,D,0,0,D,15,6,2,0,7,4,11,13,3,2,0,0
D1,28/10/2018,Werder Bremen,Leverkusen,2,6,A,0,3,A,14,17,6,10,6,6,9,8,2,2,0,0
D1,02/11/2018,Stuttgart,Ein Frankfurt,0,3,A,0,2,A,10,15,0,7,1,3,4,10,1,2,0,0
D1,03/11/2018,Augsburg,Nurnberg,2,2,D,1,0,H,17,13,4,5,6,6,16,11,3,3,0,0
D1,03/11/2018,Bayern Munich,Freiburg,1,1,D,0,0,D,24,10,6,1,14,2,9,8,1,1,0,0
D1,03/11/2018,Hertha,RB Leipzig,0,3,A,0,1,A,12,25,5,11,3,7,6,11,2,1,0,0
D1,03/11/2018,Leverkusen,Hoffenheim,1,4,A,1,2,A,21,10,9,4,6,7,6,17,0,2,0,0
D1,03/11/2018,Schalke 04,Hannover,3,1,H,0,0,D,16,20,6,6,7,7,10,10,2,3,0,0
D1,03/11/2018,Wolfsburg,Dortmund,0,1,A,0,1,A,13,12,3,1,6,14,6,9,0,2,0,0
D1,04/11/2018,Mainz,Werder Bremen,2,1,H,1,0,H,13,14,6,4,3,6,7,8,0,2,0,0
D1,04/11/2018,M'gladbach,Fortuna Dusseldorf,3,0,H,0,0,D,21,13,7,6,10,4,15,8,1,2,0,0
D1,09/11/2018,Hannover,Wolfsburg,2,1,H,1,0,H,10,19,4,9,3,5,14,8,4,2,0,0
D1,10/11/2018,Dortmund,Bayern Munich,3,2,H,0,1,A,11,9,5,3,0,6,4,8,3,3,0,0
D1,10/11/2018,Fortuna Dusseldorf,Hertha,4,1,H,0,0,D,20,11,9,5,2,6,15,15,1,3,0,1
D1,10/11/2018,Freiburg,Mainz,1,3,A,0,2,A,15,12,4,9,3,4,19,10,1,2,0,0
D1,10/11/2018,Hoffenheim,Augsburg,2,1,H,0,0,D,18,22,7,7,6,6,14,6,1,1,0,0
D1,10/11/2018,Nurnberg,Stuttgart,0,2,A,0,0,D,10,13,3,4,3,9,14,10,1,0,0,0
D1,10/11/2018,Werder Bremen,M'gladbach,1,3,A,0,1,A,20,16,5,6,9,5,7,2,0,0,0,0
D1,11/11/2018,Ein Frankfurt,Schalke 04,3,0,H,0,0,D,14,5,4,1,10,4,7,13,0,2,0,0
D1,11/11/2018,RB Leipzig,Leverkusen,3,0,H,1,0,H,14,7,7,2,4,3,12,12,0,1,0,0
D1,23/11/2018,Leverkusen,Stuttgart,2,0,H,0,0,D,17,10,4,2,6,9,13,8,3,3,0,0
D1,24/11/2018,Augsburg,Ein Frankfurt,1,3,A,0,1,A,25,15,10,7,8,5,3,12,1,2,0,0
D1,24/11/2018,Bayern Munich,Fortuna Dusseldorf,3,3,D,2,1,H,17,9,5,5,9,2,4,7,0,1,0,0
D1,24/11/2018,Hertha,Hoffenheim,3,3,D,1,2,A,23,13,8,6,8,5,9,13,1,2,0,0
D1,24/11/2018,Mainz,Dortmund,1,2,A,0,0,D,15,11,7,7,6,5,9,11,2,1,0,0
D1,24/11/2018,Schalke 04,Nurnberg,5,2,H,2,1,H,20,12,10,6,7,2,7,12,1,2,0,1
D1,24/11/2018,Wolfsburg,RB Leipzig,1,0,H,0,0,D,5,10,3,4,2,9,10,13,1,2,0,0
D1,25/11/2018,Freiburg,Werder Bremen,1,1,D,1,0,H,23,19,9,8,6,3,6,10,0,2,0,0
D1,25/11/2018,M'gladbach,Hannover,4,1,H,2,1,H,20,5,6,3,5,5,8,10,1,1,0,0
D1,30/11/2018,Fortuna Dusseldorf,Mainz,0,1,A,0,0,D,20,15,7,3,12,5,8,7,1,1,0,0
D1,01/12/2018,Dortmund,Freiburg,2,0,H,1,0,H,11,5,4,1,2,3,6,11,1,1,0,0
D1,01/12/2018,Hannover,Hertha,0,2,A,0,1,A,10,14,2,8,3,6,9,14,2,3,0,0
D1,01/12/2018,Hoffenheim,Schalke 04,1,1,D,0,0,D,20,13,7,5,4,10,11,13,3,3,0,0
D1,01/12/2018,Stuttgart,Augsburg,1,0,H,1,0,H,13,17,3,4,3,8,11,10,4,2,0,0
D1,01/12/2018,Werder Bremen,Bayern Munich,1,2,A,1,1,D,9,16,3,5,3,10,13,8,3,2,1,0
D1,02/12/2018,Ein Frankfurt,Wolfsburg,1,2,A,0,1,A,13,10,2,3,9,3,10,9,3,7,0,0
D1,02/12/2018,RB Leipzig,M'gladbach,2,0,H,2,0,H,14,7,6,4,5,4,9,9,2,2,0,0
D1,03/12/2018,Nurnberg,Leverkusen,1,1,D,0,1,A,11,20,4,6,3,6,14,10,3,2,0,0
D1,07/12/2018,Werder Bremen,Fortuna Dusseldorf,3,1,H,1,1,D,22,12,9,3,6,4,13,18,3,4,0,0
D1,08/12/2018,Bayern Munich,Nurnberg,3,0,H,2,0,H,20,4,8,1,11,1,9,6,1,0,0,0
D1,08/12/2018,Freiburg,RB Leipzig,3,0,H,2,0,H,12,15,9,4,3,12,9,16,1,2,0,0
D1,08/12/2018,Hertha,Ein Frankfurt,1,0,H,1,0,H,7,18,4,4,5,9,15,14,1,0,0,0
D1,08/12/2018,Leverkusen,Augsburg,1,0,H,0,0,D,21,13,7,1,4,2,11,17,1,2,0,0
D1,08/12/2018,Schalke 04,Dortmund,1,2,A,0,1,A,6,10,3,3,3,1,12,9,4,3,0,0
D1,08/12/2018,Wolfsburg,Hoffenheim,2,2,D,2,1,H,10,19,3,6,6,4,9,9,1,2,0,0
D1,09/12/2018,Mainz,Hannover,1,1,D,0,1,A,28,11,5,3,9,1,12,9,4,3,0,1
D1,09/12/2018,M'gladbach,Stuttgart,3,0,H,0,0,D,23,7,7,2,7,4,7,12,2,4,0,1
D1,14/12/2018,Nurnberg,Wolfsburg,0,2,A,0,0,D,11,10,0,4,6,3,13,13,2,1,0,0
D1,15/12/2018,Augsburg,Schalke 04,1,1,D,1,0,H,17,15,9,5,6,7,17,8,2,1,0,0
D1,15/12/2018,Dortmund,Werder Bremen,2,1,H,2,1,H,16,9,9,5,4,10,11,14,1,4,0,0
D1,15/12/2018,Fortuna Dusseldorf,Freiburg,2,0,H,0,0,D,20,6,8,2,4,1,13,9,2,1,0,0
D1,15/12/2018,Hannover,Bayern Munich,0,4,A,0,2,A,3,32,0,14,0,14,9,5,1,0,0,0
D1,15/12/2018,Hoffenheim,M'gladbach,0,0,D,0,0,D,27,5,6,1,6,2,9,10,0,2,0,0
D1,15/12/2018,Stuttgart,Hertha,2,1,H,0,1,A,9,15,4,3,5,5,11,13,1,3,0,0
D1,16/12/2018,Ein Frankfurt,Leverkusen,2,1,H,1,0,H,17,12,7,6,10,7,9,8,6,2,0,0
D1,16/12/2018,RB Leipzig,Mainz,4,1,H,2,1,H,17,11,7,5,6,2,9,13,3,3,0,0
D1,18/12/2018,Fortuna Dusseldorf,Dortmund,2,1,H,1,0,H,8,11,3,3,2,2,8,13,1,2,0,0
D1,18/12/2018,Hertha,Augsburg,2,2,D,2,2,D,17,8,7,2,3,2,17,13,1,0,0,0
D1,18/12/2018,M'gladbach,Nurnberg,2,0,H,0,0,D,17,7,7,2,6,7,5,19,2,3,0,0
D1,18/12/2018,Wolfsburg,Stuttgart,2,0,H,2,0,H,16,11,5,1,4,8,10,17,1,2,0,0
D1,19/12/2018,Bayern Munich,RB Leipzig,1,0,H,0,0,D,10,8,4,2,5,5,9,20,2,2,1,1
