Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
D1,18/09/2020,19:30,Bayern Munich,Schalke 04,8,0,H,3,0,H,22,5,12,1,9,2,11,12,1,2,0,0
D1,19/09/2020,14:30,Ein Frankfurt,Bielefeld,1,1,D,0,0,D,18,14,6,4,14,3,14,13,2,2,0,0
D1,19/09/2020,14:30,FC Koln,Hoffenheim,2,3,A,1,2,A,13,13,6,7,1,6,12,13,0,0,0,0
D1,19/09/2020,14:30,Stuttgart,Freiburg,2,3,A,0,2,A,22,7,7,6,7,2,12,16,2,2,0,0
D1,19/09/2020,14:30,Union Berlin,Augsburg,1,3,A,0,1,A,13,9,3,5,8,1,9,9,2,0,0,0
D1,19/09/2020,14:30,Werder Bremen,Hertha,1,4,A,0,2,A,17,13,7,6,7,4,13,17,2,0,0,0
D1,19/09/2020,17:30,Dortmund,M'gladbach,3,0,H,1,0,H,9,8,4,2,1,3,10,9,1,1,0,0
D1,20/09/2020,14:30,RB Leipzig,Mainz,3,1,H,2,0,H,23,8,10,1,7,5,5,11,1,2,0,0
D1,20/09/2020,17:00,Wolfsburg,Leverkusen,0,0,D,0,0,D,9,6,1,2,4,4,13,12,1,2,0,0
D1,25/09/2020,19:30,Hertha,Ein Frankfurt,1,3,A,0,2,A,12,10,6,3,4,3,13,16,3,4,0,0
D1,26/09/2020,14:30,Augsburg,Dortmund,2,0,H,1,0,H,6,16,4,7,3,11,7,8,3,4,0,0
D1,26/09/2020,14:30,Bielefeld,FC Koln,1,0,H,0,0,D,7,12,3,2,4,7,12,15,3,3,0,0
D1,26/09/2020,14:30,Leverkusen,RB Leipzig,1,1,D,1,1,D,11,7,4,2,4,1,16,10,1,3,0,0
D1,26/09/2020,14:30,Mainz,Stuttgart,1,4,A,1,1,D,11,15,3,7,3,9,10,17,2,4,1,1
