Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
15/08/2024,18:00,Ath Bilbao,Getafe,1,1,D,1,0,H,7,9,4,2,5,6,15,12,4,1,0,0
15/08/2024,20:30,Betis,Girona,1,1,D,1,0,H,19,13,4,2,4,4,11,7,2,0,0,0
16/08/2024,18:00,Celta,Alaves,2,1,H,0,1,A,6,10,4,2,3,3,8,23,3,2,0,0
16/08/2024,20:30,Las Palmas,Sevilla,2,2,D,1,1,D,13,16,5,5,6,3,12,13,0,0,0,0
17/08/2024,18:00,Osasuna,Leganes,1,1,D,0,1,A,16,10,5,4,6,4,14,12,3,2,0,0
17/08/2024,20:30,Valencia,Barcelona,1,2,A,1,1,D,6,18,1,8,3,8,11,13,2,3,0,0
18/08/2024,18:00,Sociedad,Vallecano,1,2,A,0,0,D,11,12,5,5,10,5,14,21,2,4,0,0
18/08/2024,20:30,Mallorca,Real Madrid,1,1,D,0,1,A,12,13,5,4,8,7,11,6,1,0,0,1
19/08/2024,18:00,Valladolid,Espanol,1,0,H,1,0,H,12,10,3,2,3,2,15,8,2,2,0,0
19/08/2024,20:30,Villarreal,Ath Madrid,2,2,D,2,2,D,8,10,3,5,2,3,6,10,1,3,0,0
23/08/2024,18:00,Celta,Valencia,3,1,H,2,1,H,7,13,5,5,4,7,9,11,3,0,0,0
23/08/2024,20:30,Sevilla,Villarreal,1,2,A,1,1,D,15,6,9,5,7,2,15,7,3,5,0,0
24/08/2024,16:00,Osasuna,Mallorca,1,0,H,0,0,D,15,11,5,2,5,4,10,8,2,1,0,0
24/08/2024,18:00,Barcelona,Ath Bilbao,2,1,H,1,1,D,13,9,5,2,5,6,11,16,4,5,0,0
24/08/2024,20:30,Espanol,Sociedad,0,1,A,0,0,D,13,8,3,4,7,4,14,18,2,2,0,0
24/08/2024,20:30,Getafe,Vallecano,0,0,D,0,0,D,12,3,0,1,3,2,16,18,1,2,0,0
25/08/2024,16:00,Real Madrid,Valladolid,3,0,H,0,0,D,17,8,9,2,5,5,10,15,1,1,0,0
25/08/2024,18:00,Leganes,Las Palmas,2,1,H,0,0,D,10,10,5,5,3,7,11,10,1,1,0,0
25/08/2024,18:15,Alaves,Betis,0,0,D,0,0,D,3,13,1,3,3,8,16,13,1,4,1,0
25/08/2024,20:30,Ath Madrid,Girona,3,0,H,1,0,H,11,13,6,5,1,9,11,10,1,3,0,0
26/08/2024,20:30,Villarreal,Celta,4,3,H,1,2,A,22,18,9,8,7,4,8,6,4,3,0,0
27/08/2024,18:00,Mallorca,Sevilla,0,0,D,0,0,D,12,16,4,7,5,9,15,10,0,1,0,1
