Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
F1,09/08/2019,19:45,Monaco,Lyon,0,3,A,0,2,A,7,13,1,3,2,5,10,17,2,2,1,0
F1,10/08/2019,16:30,Marseille,Reims,0,2,A,0,0,D,10,8,2,5,5,3,18,8,1,0,0,0
F1,10/08/2019,19:00,Angers,Bordeaux,3,1,H,3,1,H,14,8,4,3,4,3,11,15,2,1,0,0
F1,10/08/2019,19:00,Brest,Toulouse,1,1,D,1,0,H,16,13,5,3,4,7,11,14,0,0,0,0
F1,10/08/2019,19:00,Dijon,St Etienne,1,2,A,1,2,A,15,12,7,4,12,5,17,10,0,2,0,0
F1,10/08/2019,19:00,Montpellier,Rennes,0,1,A,0,1,A,24,9,5,3,7,1,20,19,3,3,0,1
F1,10/08/2019,19:00,Nice,Amiens,2,1,H,1,0,H,17,8,6,2,7,3,10,8,3,4,0,1
F1,11/08/2019,14:00,Lille,Nantes,2,1,H,1,0,H,13,13,3,3,5,11,13,17,2,4,0,0
F1,11/08/2019,16:00,Strasbourg,Metz,1,1,D,1,0,H,13,7,2,3,3,4,6,12,0,1,0,0
F1,11/08/2019,20:00,Paris SG,Nimes,3,0,H,1,0,H,12,5,5,1,2,6,17,8,2,0,0,0
F1,16/08/2019,19:45,Lyon,Angers,6,0,H,3,0,H,11,10,9,3,2,5,7,14,1,2,0,0
F1,17/08/2019,16:30,Nantes,Marseille,0,0,D,0,0,D,13,9,6,2,7,3,16,18,0,3,0,0
F1,17/08/2019,19:00,Amiens,Lille,1,0,H,0,0,D,8,10,3,1,3,10,13,7,1,1,0,1
F1,17/08/2019,19:00,Bordeaux,Montpellier,1,1,D,0,1,A,13,10,4,4,3,5,15,21,2,1,0,0
F1,17/08/2019,19:00,Metz,Monaco,3,0,H,1,0,H,18,12,10,6,6,4,16,7,1,2,0,1
F1,17/08/2019,19:00,Nimes,Nice,1,2,A,1,2,A,18,6,5,3,2,1,21,12,5,5,2,1
F1,17/08/2019,19:00,Toulouse,Dijon,1,0,H,0,0,D,18,18,7,5,7,5,11,5,2,0,0,0
F1,18/08/2019,14:00,St Etienne,Brest,1,1,D,0,1,A,19,9,5,4,4,2,16,8,1,2,0,0
F1,18/08/2019,16:00,Reims,Strasbourg,0,0,D,0,0,D,11,4,1,1,2,4,18,19,2,0,0,0
F1,18/08/2019,20:00,Rennes,Paris SG,2,1,H,1,1,D,11,9,4,2,4,7,15,19,1,5,0,0
F1,24/08/2019,19:00,Amiens,Nantes,1,2,A,0,0,D,3,25,1,6,2,5,9,13,1,1,1,0
F1,24/08/2019,19:00,Angers,Metz,3,0,H,2,0,H,15,4,5,2,2,1,15,8,1,2,0,0
F1,24/08/2019,19:00,Brest,Reims,1,0,H,0,0,D,8,10,4,2,6,5,18,14,1,1,0,0
F1,24/08/2019,19:00,Dijon,Bordeaux,0,2,A,0,1,A,10,10,1,3,3,7,12,18,0,2,0,0
F1,25/08/2019,14:00,Monaco,Nimes,2,2,D,2,0,H,16,14,6,4,6,7,14,17,2,1,1,0
F1,25/08/2019,16:00,Strasbourg,Rennes,0,2,A,0,1,A,19,7,3,4,6,0,13,13,4,2,1,0
F1,25/08/2019,20:00,Paris SG,Toulouse,4,0,H,0,0,D,21,3,11,0,12,1,8,13,0,1,0,0
F1,27/08/2019,18:00,Montpellier,Lyon,1,0,H,1,0,H,19,14,5,4,8,2,14,11,2,4,0,1
F1,28/08/2019,18:00,Lille,St Etienne,3,0,H,1,0,H,16,9,7,4,3,3,9,12,0,0,0,0
F1,28/08/2019,20:00,Nice,Marseille,1,2,A,0,1,A,12,12,3,5,4,3,7,13,1,1,0,0
F1,30/08/2019,19:45,Metz,Paris SG,0,2,A,0,2,A,7,10,2,4,4,7,11,13,1,0,0,0
F1,31/08/2019,16:30,Lyon,Bordeaux,1,1,D,1,0,H,10,18,3,6,4,5,12,14,4,3,1,0
F1,31/08/2019,19:00,Angers,Dijon,2,0,H,0,0,D,12,5,3,2,5,3,11,17,0,2,0,0
F1,31/08/2019,19:00,Nantes,Montpellier,1,0,H,0,0,D,14,8,7,1,6,2,14,12,2,2,0,0
F1,31/08/2019,19:00,Nimes,Brest,3,0,H,2,0,H,21,7,8,3,8,2,11,17,3,4,0,0
F1,31/08/2019,19:00,Toulouse,Amiens,2,0,H,0,0,D,13,10,4,1,4,3,15,8,0,1,0,0
F1,01/09/2019,14:00,Reims,Lille,2,0,H,0,0,D,12,11,5,3,5,1,19,15,3,2,0,1
F1,01/09/2019,14:00,Rennes,Nice,1,2,A,1,0,H,11,11,3,7,8,6,13,13,2,3,0,0
F1,01/09/2019,16:00,Strasbourg,Monaco,2,2,D,1,2,A,14,16,5,6,6,4,14,17,4,3,0,0
F1,01/09/2019,20:00,Marseille,St Etienne,1,0,H,1,0,H,9,12,2,3,5,6,16,7,5,2,0,0
F1,13/09/2019,18:00,Lille,Angers,2,1,H,1,0,H,13,8,4,4,4,4,3,16,1,2,0,0
F1,13/09/2019,19:45,Amiens,Lyon,2,2,D,1,2,A,11,12,2,6,4,1,12,14,3,2,0,0
F1,14/09/2019,16:30,Paris SG,Strasbourg,1,0,H,0,0,D,16,6,7,3,5,2,12,12,2,2,0,0
F1,14/09/2019,19:00,Bordeaux,Metz,2,0,H,2,0,H,15,15,6,3,4,6,18,15,2,2,0,0
F1,14/09/2019,19:00,Brest,Rennes,0,0,D,0,0,D,10,9,2,2,2,4,10,12,2,2,0,0
F1,14/09/2019,19:00,Dijon,Nimes,0,0,D,0,0,D,16,7,2,3,6,0,14,11,3,1,0,0
F1,14/09/2019,19:00,Montpellier,Nice,2,1,H,1,1,D,17,13,8,5,8,1,17,11,2,2,0,0
F1,15/09/2019,14:00,Nantes,Reims,1,0,H,0,0,D,8,9,4,1,7,5,18,15,1,3,0,0
F1,15/09/2019,16:00,St Etienne,Toulouse,2,2,D,1,2,A,14,10,4,7,9,7,15,13,3,0,0,0
F1,15/09/2019,20:00,Monaco,Marseille,3,4,A,2,2,D,12,13,8,6,6,4,9,14,3,3,0,0
F1,20/09/2019,19:45,Strasbourg,Nantes,2,1,H,0,1,A,17,10,5,3,9,2,11,16,2,2,0,0
F1,21/09/2019,16:30,Marseille,Montpellier,1,1,D,0,1,A,24,3,5,2,15,1,11,17,4,3,2,1
F1,21/09/2019,19:00,Bordeaux,Brest,2,2,D,1,2,A,18,13,5,3,5,9,9,11,4,3,0,0
F1,21/09/2019,19:00,Metz,Amiens,1,2,A,0,1,A,13,9,4,5,4,6,13,12,1,1,0,0
F1,21/09/2019,19:00,Nice,Dijon,2,1,H,1,1,D,16,13,6,7,6,3,7,13,2,3,0,0
F1,21/09/2019,19:00,Nimes,Toulouse,1,0,H,1,0,H,19,9,4,2,5,7,14,11,1,3,0,1
F1,21/09/2019,19:00,Reims,Monaco,0,0,D,0,0,D,16,12,4,4,6,3,16,10,0,2,0,0
F1,22/09/2019,14:00,Rennes,Lille,1,1,D,0,0,D,11,15,3,6,4,8,14,11,2,1,0,0
F1,22/09/2019,16:00,Angers,St Etienne,4,1,H,0,1,A,14,6,5,2,5,4,13,12,1,1,0,0
F1,22/09/2019,20:00,Lyon,Paris SG,0,1,A,0,0,D,12,21,0,7,2,11,8,6,1,1,0,0
F1,24/09/2019,18:00,Dijon,Marseille,0,0,D,0,0,D,18,9,6,2,8,3,9,14,3,3,0,0
F1,24/09/2019,20:00,Monaco,Nice,3,1,H,1,0,H,17,10,5,3,5,7,10,14,2,3,0,0
F1,25/09/2019,18:00,Amiens,Bordeaux,1,3,A,1,2,A,11,15,3,6,3,3,15,13,2,2,0,0
F1,25/09/2019,18:00,Brest,Lyon,2,2,D,1,1,D,13,11,5,5,2,6,9,10,0,0,0,0
