Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
16/08/2024,19:45,Le Havre,Paris SG,1,4,A,0,1,A,5,14,2,9,2,8,9,9,3,0,0,0
17/08/2024,16:00,Brest,Marseille,1,5,A,1,3,A,7,7,5,5,5,0,10,8,4,1,0,0
17/08/2024,18:00,Reims,Lille,0,2,A,0,1,A,2,21,0,6,0,8,6,13,2,2,1,0
17/08/2024,20:00,Monaco,St Etienne,1,0,H,1,0,H,13,7,6,4,5,4,13,14,1,1,0,0
18/08/2024,14:00,Auxerre,Nice,2,1,H,1,1,D,16,9,7,2,3,5,11,17,0,0,0,0
18/08/2024,16:00,Angers,Lens,0,1,A,0,1,A,4,10,3,5,7,3,6,10,1,0,0,0
18/08/2024,16:00,Montpellier,Strasbourg,1,1,D,0,0,D,7,11,5,4,6,4,20,18,4,3,0,0
18/08/2024,16:00,Toulouse,Nantes,0,0,D,0,0,D,7,6,3,2,10,5,10,8,1,3,0,0
18/08/2024,19:45,Rennes,Lyon,3,0,H,2,0,H,22,16,8,2,7,7,13,12,2,1,0,0
23/08/2024,19:45,Paris SG,Montpellier,6,0,H,2,0,H,21,6,10,3,10,2,9,16,1,4,0,0
24/08/2024,16:00,Lyon,Monaco,0,2,A,0,0,D,2,15,1,4,0,6,10,7,0,0,0,1
24/08/2024,18:00,Lille,Angers,2,0,H,1,0,H,11,5,6,2,3,2,9,17,1,2,0,0
24/08/2024,20:00,St Etienne,Le Havre,0,2,A,0,0,D,18,14,5,5,2,4,11,9,3,3,0,0
25/08/2024,14:00,Lens,Brest,2,0,H,2,0,H,22,10,11,2,5,2,8,6,0,0,1,0
25/08/2024,16:00,Nantes,Auxerre,2,0,H,1,0,H,8,10,6,3,3,12,9,6,0,0,0,1
25/08/2024,16:00,Nice,Toulouse,1,1,D,0,0,D,10,15,4,3,4,4,11,21,4,1,0,0
25/08/2024,16:00,Strasbourg,Rennes,3,1,H,1,0,H,9,13,5,5,2,5,7,19,2,4,0,0
25/08/2024,19:45,Marseille,Reims,2,2,D,1,0,H,16,12,10,3,2,4,10,13,1,1,0,0
30/08/2024,19:45,Lyon,Strasbourg,4,3,H,1,1,D,22,14,13,7,9,2,10,6,3,2,0,0
31/08/2024,16:00,Brest,St Etienne,4,0,H,2,0,H,17,3,7,0,7,2,12,28,0,5,0,0
31/08/2024,18:00,Montpellier,Nantes,1,3,A,1,2,A,11,10,5,5,8,3,11,13,2,2,0,0
31/08/2024,20:00,Toulouse,Marseille,1,3,A,0,2,A,4,11,2,5,2,3,10,12,4,2,1,0
01/09/2024,14:00,Monaco,Lens,1,1,D,0,0,D,14,12,3,4,7,7,11,21,1,4,0,0
01/09/2024,16:00,Angers,Nice,1,4,A,0,2,A,12,12,7,9,4,7,14,13,6,4,0,1
01/09/2024,16:00,Le Havre,Auxerre,3,1,H,1,1,D,21,7,8,2,2,2,10,15,1,5,0,1
01/09/2024,16:00,Reims,Rennes,2,1,H,1,1,D,11,13,7,5,3,5,9,12,2,1,0,0
01/09/2024,19:45,Lille,Paris SG,1,3,A,0,2,A,10,10,4,7,3,1,7,5,3,2,0,0
13/09/2024,19:45,St Etienne,Lille,1,0,H,1,0,H,10,17,5,4,2,7,12,10,1,1,0,0
14/09/2024,16:00,Marseille,Nice,2,0,H,1,0,H,10,12,5,4,1,2,18,4,5,2,1,0
