Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
I1,24/08/2019,17:00,Parma,Juventus,0,1,A,0,1,A,5,9,4,4,5,8,12,14,2,3,0,0
I1,24/08/2019,19:45,Fiorentina,Napoli,3,4,A,1,2,A,10,8,6,6,4,5,21,16,2,4,0,0
I1,25/08/2019,17:00,Udinese,Milan,1,0,H,0,0,D,11,6,6,0,9,4,14,11,1,3,0,0
I1,25/08/2019,19:45,Cagliari,Brescia,0,1,A,0,0,D,9,8,5,3,8,8,10,11,2,2,0,0
I1,25/08/2019,19:45,Roma,Genoa,3,3,D,2,2,D,17,6,9,4,5,1,15,13,3,1,0,0
I1,25/08/2019,19:45,Sampdoria,Lazio,0,3,A,0,1,A,12,16,8,10,5,9,13,11,2,2,0,0
I1,25/08/2019,19:45,Spal,Atalanta,2,3,A,2,1,H,8,18,3,14,2,10,13,16,2,1,0,0
I1,25/08/2019,19:45,Torino,Sassuolo,2,1,H,1,0,H,7,13,4,9,6,6,21,15,4,3,0,0
I1,25/08/2019,19:45,Verona,Bologna,1,1,D,1,1,D,5,14,2,5,1,6,12,13,1,3,1,0
I1,26/08/2019,19:45,Inter,Lecce,4,0,H,2,0,H,16,10,7,4,7,7,14,8,1,2,0,1
I1,30/08/2019,19:45,Bologna,Spal,1,0,H,0,0,D,18,7,9,1,11,2,13,13,3,2,0,0
I1,31/08/2019,17:00,Milan,Brescia,1,0,H,1,0,H,11,4,6,2,5,3,14,18,3,4,0,0
I1,31/08/2019,19:45,Juventus,Napoli,4,3,H,2,0,H,10,12,8,7,2,5,13,13,3,3,0,0
I1,01/09/2019,17:00,Lazio,Roma,1,1,D,0,1,A,21,8,13,5,8,4,15,13,4,3,0,0
I1,01/09/2019,19:45,Atalanta,Torino,2,3,A,1,1,D,19,8,12,6,12,5,13,15,2,2,0,0
I1,01/09/2019,19:45,Cagliari,Inter,1,2,A,0,1,A,7,9,3,8,5,5,12,11,5,3,0,0
I1,01/09/2019,19:45,Genoa,Fiorentina,2,1,H,1,0,H,18,15,10,7,9,8,17,15,2,0,0,0
I1,01/09/2019,19:45,Lecce,Verona,0,1,A,0,0,D,9,11,3,6,2,7,14,14,2,3,0,0
I1,01/09/2019,19:45,Sassuolo,Sampdoria,4,1,H,3,0,H,11,8,8,5,3,5,9,10,1,3,0,1
I1,01/09/2019,19:45,Udinese,Parma,1,3,A,1,1,D,17,6,12,3,8,1,11,11,1,3,0,0
I1,14/09/2019,14:00,Fiorentina,Juventus,0,0,D,0,0,D,15,5,8,4,10,0,12,18,3,3,0,0
I1,14/09/2019,17:00,Napoli,Sampdoria,2,0,H,1,0,H,19,7,9,2,8,7,7,10,2,2,0,0
I1,14/09/2019,19:45,Inter,Udinese,1,0,H,1,0,H,15,6,10,4,8,3,9,10,2,1,0,1
I1,15/09/2019,11:30,Genoa,Atalanta,1,2,A,0,0,D,8,11,3,6,8,7,12,14,3,3,0,0
I1,15/09/2019,14:00,Brescia,Bologna,3,4,A,3,1,H,9,17,7,6,2,10,14,17,2,6,1,0
I1,15/09/2019,14:00,Parma,Cagliari,1,3,A,0,2,A,14,6,8,4,12,3,12,16,0,5,0,0
I1,15/09/2019,14:00,Spal,Lazio,2,1,H,0,1,A,9,11,4,7,8,5,9,11,5,3,0,0
I1,15/09/2019,17:00,Roma,Sassuolo,4,2,H,4,0,H,14,10,10,5,8,2,13,9,1,2,0,0
I1,15/09/2019,19:45,Verona,Milan,0,1,A,0,0,D,6,11,2,6,2,7,13,16,4,3,1,1
I1,16/09/2019,19:45,Torino,Lecce,1,2,A,0,1,A,12,12,3,5,7,3,11,19,1,6,0,0
I1,20/09/2019,19:45,Cagliari,Genoa,3,1,H,0,0,D,8,7,4,2,4,3,12,8,1,1,0,0
I1,21/09/2019,14:00,Udinese,Brescia,0,1,A,0,0,D,6,5,3,3,3,9,22,16,4,4,0,0
I1,21/09/2019,17:00,Juventus,Verona,2,1,H,1,1,D,12,8,3,8,2,5,12,20,0,4,0,1
I1,21/09/2019,19:45,Milan,Inter,0,2,A,0,0,D,7,11,3,9,2,6,15,22,2,1,0,0
I1,22/09/2019,11:30,Sassuolo,Spal,3,0,H,2,0,H,17,8,8,3,7,9,19,14,3,2,0,0
I1,22/09/2019,14:00,Bologna,Roma,1,2,A,0,0,D,5,14,3,7,3,4,13,16,3,6,0,1
