Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
17/08/2024,17:30,Genoa,Inter,2,2,D,1,1,D,10,14,6,9,1,4,15,14,1,2,0,0
17/08/2024,17:30,Parma,Fiorentina,1,1,D,1,0,H,13,14,5,7,4,9,15,9,3,2,0,1
17/08/2024,19:45,Empoli,Monza,0,0,D,0,0,D,9,4,1,1,7,3,16,19,0,2,0,0
17/08/2024,19:45,Milan,Torino,2,2,D,0,1,A,20,6,6,3,9,2,10,7,2,4,0,0
18/08/2024,17:30,Bologna,Udinese,1,1,D,0,0,D,22,4,7,2,7,5,15,13,0,4,0,0
18/08/2024,17:30,Verona,Napoli,3,0,H,0,0,D,8,15,5,5,1,5,15,13,4,1,0,0
18/08/2024,19:45,Cagliari,Roma,0,0,D,0,0,D,12,13,2,3,5,3,15,7,2,0,0,0
18/08/2024,19:45,Lazio,Venezia,3,1,H,2,1,H,13,11,6,3,6,3,14,11,1,2,0,0
19/08/2024,17:30,Lecce,Atalanta,0,4,A,0,2,A,19,10,5,6,5,3,10,24,0,2,0,0
19/08/2024,19:45,Juventus,Como,3,0,H,2,0,H,12,1,9,1,3,0,12,6,2,4,0,0
24/08/2024,17:30,Parma,Milan,2,1,H,1,0,H,8,17,5,5,3,9,9,13,0,3,0,0
24/08/2024,17:30,Udinese,Lazio,2,1,H,1,0,H,8,17,3,5,4,13,15,10,0,0,1,0
24/08/2024,19:45,Inter,Lecce,2,0,H,1,0,H,11,10,3,4,10,6,9,12,0,2,0,0
24/08/2024,19:45,Monza,Genoa,0,1,A,0,1,A,9,11,2,1,8,3,6,17,2,3,0,0
25/08/2024,17:30,Fiorentina,Venezia,0,0,D,0,0,D,12,7,8,4,7,3,13,19,1,2,0,0
25/08/2024,17:30,Torino,Atalanta,2,1,H,1,1,D,13,24,6,8,4,6,8,13,3,4,0,0
25/08/2024,19:45,Napoli,Bologna,3,0,H,1,0,H,16,9,5,2,7,5,11,17,2,2,0,0
25/08/2024,19:45,Roma,Empoli,1,2,A,0,1,A,17,10,6,3,8,5,10,9,0,3,0,0
26/08/2024,17:30,Cagliari,Como,1,1,D,1,0,H,11,13,5,4,5,6,12,10,2,2,0,0
26/08/2024,19:45,Verona,Juventus,0,3,A,0,2,A,7,7,1,5,4,1,8,8,2,0,0,0
30/08/2024,17:30,Venezia,Torino,0,1,A,0,0,D,13,12,4,6,3,3,7,15,2,4,0,0
30/08/2024,19:45,Inter,Atalanta,4,0,H,2,0,H,13,11,5,1,3,4,6,15,0,2,0,0
31/08/2024,17:30,Bologna,Empoli,1,1,D,1,1,D,14,4,3,2,6,3,15,18,0,3,0,0
31/08/2024,17:30,Lecce,Cagliari,1,0,H,1,0,H,17,21,4,2,7,10,10,13,1,3,1,0
31/08/2024,19:45,Lazio,Milan,2,2,D,0,1,A,7,10,5,4,5,7,12,9,4,2,0,0
31/08/2024,19:45,Napoli,Parma,2,1,H,0,1,A,29,13,7,2,6,4,12,6,2,4,0,1
01/09/2024,17:30,Fiorentina,Monza,2,2,D,1,2,A,15,4,5,3,6,0,11,21,2,4,0,0
01/09/2024,17:30,Genoa,Verona,0,2,A,0,0,D,11,10,1,3,3,1,8,16,2,6,0,0
01/09/2024,19:45,Juventus,Roma,0,0,D,0,0,D,8,7,1,1,6,4,11,12,2,2,0,0
01/09/2024,19:45,Udinese,Como,1,0,H,1,0,H,10,21,3,4,4,6,16,9,3,0,0,0
14/09/2024,14:00,Como,Bologna,2,2,D,1,0,H,14,14,4,4,4,3,17,12,2,1,0,0
14/09/2024,17:00,Empoli,Juventus,0,0,D,0,0,D,8,15,3,3,4,8,11,10,1,2,0,0
14/09/2024,19:45,Milan,Venezia,4,0,H,4,0,H,12,6,8,1,6,1,12,12,1,3,0,1
15/09/2024,11:30,Genoa,Roma,1,1,D,0,1,A,20,16,8,6,4,5,9,12,1,3,0,0
15/09/2024,14:00,Atalanta,Fiorentina,3,2,H,3,2,H,13,13,7,5,4,2,16,15,2,3,0,0
15/09/2024,14:00,Torino,Lecce,0,0,D,0,0,D,5,20,0,6,2,7,13,13,1,3,0,0
15/09/2024,17:00,Cagliari,Napoli,0,4,A,0,1,A,16,12,3,5,7,4,22,11,1,2,0,0
15/09/2024,19:45,Monza,Inter,1,1,D,0,0,D,5,16,2,2,1,8,11,19,1,2,0,0
16/09/2024,17:30,Parma,Udinese,2,3,A,2,0,H,9,18,3,6,5,6,8,18,2,3,1,0
16/09/2024,19:45,Lazio,Verona,2,1,H,2,1,H,14,7,7,2,9,6,13,10,2,2,0,0
20/09/2024,17:30,Cagliari,Empoli,0,2,A,0,1,A,21,9,2,4,10,4,15,21,1,2,0,0
20/09/2024,19:45,Verona,Torino,2,3,A,1,2,A,8,16,2,3,5,6,10,8,3,1,1,0
21/09/2024,14:00,Venezia,Genoa,2,0,H,0,0,D,12,9,4,0,3,4,9,12,2,3,0,0
21/09/2024,17:00,Juventus,Napoli,0,0,D,0,0,D,9,8,1,1,4,3,10,13,1,0,0,0
