date,home_team,away_team,home_goals,away_goals,result,xg_home,xg_away,league,season_code
2016-08-12 22:00:00,SC Bastia,Paris Saint Germain,0,1,A,0.828385,0.664887,Ligue1,1617
2016-08-12 22:30:00,Monaco,Guingamp,2,2,D,2.49641,0.699022,Ligue1,1617
2016-08-13 19:00:00,Bordeaux,Saint-Etienne,3,2,H,1.16592,1.50131,Ligue1,1617
2016-08-13 22:00:00,Montpellier,Angers,1,0,H,0.879179,0.49342,Ligue1,1617
2016-08-13 22:00:00,Caen,Lorient,3,2,H,2.27284,1.9864,Ligue1,1617
2016-08-13 22:00:00,Metz,Lille,3,2,H,2.31706,1.87778,Ligue1,1617
2016-08-13 22:00:00,Dijon,Nantes,0,1,A,0.294202,1.31806,Ligue1,1617
2016-08-14 17:00:00,Nancy,Lyon,0,3,A,0.378703,2.32475,Ligue1,1617
2016-08-14 19:00:00,Nice,Rennes,1,0,H,0.704696,1.16856,Ligue1,1617
2016-08-14 22:45:00,Marseille,Toulouse,0,0,D,0.372135,0.254141,Ligue1,1617
2016-08-19 22:45:00,Lyon,Caen,2,0,H,2.84412,0.458346,Ligue1,1617
2016-08-20 19:00:00,Nantes,Monaco,0,1,A,0.322377,0.545027,Ligue1,1617
2016-08-20 22:00:00,Toulouse,Bordeaux,4,1,H,1.58483,0.7395,Ligue1,1617
2016-08-20 22:00:00,Angers,Nice,0,1,A,1.21118,2.06104,Ligue1,1617
2016-08-20 22:00:00,Rennes,Nancy,2,0,H,0.457521,0.968592,Ligue1,1617
2016-08-20 22:00:00,Lorient,SC Bastia,0,3,A,0.349438,2.25743,Ligue1,1617
2016-08-20 22:00:00,Lille,Dijon,1,0,H,0.877699,0.524902,Ligue1,1617
2016-08-21 17:00:00,Guingamp,Marseille,2,1,H,1.24688,0.719975,Ligue1,1617
2016-08-21 19:00:00,Saint-Etienne,Montpellier,3,1,H,1.58901,1.46843,Ligue1,1617
2016-08-21 22:45:00,Paris Saint Germain,Metz,3,0,H,3.85662,0.996438,Ligue1,1617
2016-08-26 22:45:00,Marseille,Lorient,2,0,H,1.46546,0.486662,Ligue1,1617
2016-08-27 19:00:00,Dijon,Lyon,4,2,H,1.99507,2.38079,Ligue1,1617
2016-08-27 22:00:00,Caen,SC Bastia,2,0,H,2.04065,0.376246,Ligue1,1617
2016-08-27 22:00:00,Metz,Angers,2,0,H,0.448001,1.10689,Ligue1,1617
2016-08-27 22:00:00,Nancy,Guingamp,0,2,A,1.42221,1.59434,Ligue1,1617
2016-08-27 22:00:00,Montpellier,Rennes,1,1,D,0.999105,1.0107,Ligue1,1617
2016-08-27 22:00:00,Nice,Lille,1,1,D,1.7221,0.415974,Ligue1,1617
2016-08-28 17:00:00,Bordeaux,Nantes,1,0,H,1.70798,0.74034,Ligue1,1617
2016-08-28 19:00:00,Saint-Etienne,Toulouse,0,0,D,0.920032,0.395826,Ligue1,1617
2016-08-28 22:45:00,Monaco,Paris Saint Germain,3,1,H,1.20927,1.11721,Ligue1,1617
2016-09-09 22:45:00,Paris Saint Germain,Saint-Etienne,1,1,D,1.93914,0.293162,Ligue1,1617
2016-09-10 19:00:00,Lyon,Bordeaux,1,3,A,0.993332,1.5749,Ligue1,1617
2016-09-10 22:00:00,SC Bastia,Toulouse,2,1,H,0.440568,0.463047,Ligue1,1617
2016-09-10 22:00:00,Angers,Dijon,3,1,H,0.606116,0.804238,Ligue1,1617
2016-09-10 22:00:00,Lorient,Nancy,0,2,A,1.09603,0.737229,Ligue1,1617
2016-09-10 22:00:00,Lille,Monaco,1,4,A,0.67898,1.48764,Ligue1,1617
2016-09-10 22:00:00,Guingamp,Montpellier,1,1,D,0.703262,0.161811,Ligue1,1617
2016-09-11 17:00:00,Nantes,Metz,0,3,A,0.853017,1.31386,Ligue1,1617
