date,home_team,away_team,home_goals,away_goals,result,xg_home,xg_away,league,season_code
2024-08-17 16:30:00,Genoa,Inter,2,2,D,2.31286,2.00656,SerieA,2425
2024-08-17 16:30:00,Parma Calcio 1913,Fiorentina,1,1,D,1.83796,0.81313,SerieA,2425
2024-08-17 18:45:00,Empoli,Monza,0,0,D,0.578573,0.327848,SerieA,2425
2024-08-17 18:45:00,AC Milan,Torino,2,2,D,2.1004,0.876602,SerieA,2425
2024-08-18 16:30:00,Verona,Napoli,3,0,H,1.80536,0.975176,SerieA,2425
2024-08-18 16:30:00,Bologna,Udinese,1,1,D,3.3102,0.944621,SerieA,2425
2024-08-18 18:45:00,Cagliari,Roma,0,0,D,1.30634,1.29639,SerieA,2425
2024-08-18 18:45:00,Lazio,Venezia,3,1,H,2.33223,0.789649,SerieA,2425
2024-08-19 16:30:00,Lecce,Atalanta,0,4,A,1.88414,2.45909,SerieA,2425
2024-08-19 18:45:00,Juventus,Como,3,0,H,1.30582,0.171238,SerieA,2425
2024-08-24 16:30:00,Parma Calcio 1913,AC Milan,2,1,H,2.46266,2.09812,SerieA,2425
2024-08-24 16:30:00,Udinese,Lazio,2,1,H,1.11581,1.68277,SerieA,2425
2024-08-24 18:45:00,Monza,Genoa,0,1,A,0.401371,0.660299,SerieA,2425
2024-08-24 18:45:00,Inter,Lecce,2,0,H,2.48059,0.335346,SerieA,2425
2024-08-25 16:30:00,Fiorentina,Venezia,0,0,D,0.660213,1.01295,SerieA,2425
2024-08-25 16:30:00,Torino,Atalanta,2,1,H,2.49919,3.08667,SerieA,2425
2024-08-25 18:45:00,Napoli,Bologna,3,0,H,2.07052,0.544518,SerieA,2425
2024-08-25 18:45:00,Roma,Empoli,1,2,A,2.04246,3.0773,SerieA,2425
2024-08-26 16:30:00,Cagliari,Como,1,1,D,1.03532,2.08973,SerieA,2425
2024-08-26 18:45:00,Verona,Juventus,0,3,A,0.878611,1.36151,SerieA,2425
2024-08-30 16:30:00,Venezia,Torino,0,1,A,0.635612,1.80895,SerieA,2425
2024-08-30 18:45:00,Inter,Atalanta,4,0,H,2.28876,1.17772,SerieA,2425
2024-08-31 16:30:00,Lecce,Cagliari,1,0,H,2.34113,2.09263,SerieA,2425
2024-08-31 16:30:00,Bologna,Empoli,1,1,D,1.35876,1.11428,SerieA,2425
2024-08-31 18:45:00,Napoli,Parma Calcio 1913,2,1,H,2.33511,1.90229,SerieA,2425
2024-08-31 18:45:00,Lazio,AC Milan,2,2,D,2.32967,1.34242,SerieA,2425
2024-09-01 16:30:00,Fiorentina,Monza,2,2,D,2.41541,0.489982,SerieA,2425
2024-09-01 16:30:00,Genoa,Verona,0,2,A,1.34735,2.09653,SerieA,2425
2024-09-01 18:45:00,Juventus,Roma,0,0,D,0.415282,0.382591,SerieA,2425
2024-09-01 18:45:00,Udinese,Como,1,0,H,1.18455,1.65728,SerieA,2425
2024-09-14 13:00:00,Como,Bologna,2,2,D,1.45782,1.15087,SerieA,2425
2024-09-14 16:00:00,Empoli,Juventus,0,0,D,0.601249,0.726024,SerieA,2425
2024-09-14 18:45:00,AC Milan,Venezia,4,0,H,2.18898,0.263269,SerieA,2425
2024-09-15 10:30:00,Genoa,Roma,1,1,D,1.59603,2.65805,SerieA,2425
2024-09-15 13:00:00,Atalanta,Fiorentina,3,2,H,2.4507,1.96392,SerieA,2425
2024-09-15 13:00:00,Torino,Lecce,0,0,D,0.447368,1.6617,SerieA,2425
2024-09-15 16:00:00,Cagliari,Napoli,0,4,A,0.881581,1.42805,SerieA,2425
2024-09-15 18:45:00,Monza,Inter,1,1,D,0.217777,1.8081,SerieA,2425
2024-09-16 16:30:00,Parma Calcio 1913,Udinese,2,3,A,0.87968,3.08828,SerieA,2425
2024-09-16 18:45:00,Lazio,Verona,2,1,H,1.79243,0.533276,SerieA,2425
2024-09-20 16:30:00,Cagliari,Empoli,0,2,A,1.68655,1.02688,SerieA,2425
2024-09-20 18:45:00,Verona,Torino,2,3,A,0.777792,1.96682,SerieA,2425
2024-09-21 13:00:00,Venezia,Genoa,2,0,H,2.33503,0.388857,SerieA,2425
2024-09-21 16:00:00,Juventus,Napoli,0,0,D,0.419301,0.233773,SerieA,2425
2024-09-21 18:45:00,Lecce,Parma Calcio 1913,2,2,D,1.25857,2.054,SerieA,2425
2024-09-22 10:30:00,Fiorentina,Lazio,2,1,H,2.85634,1.14467,SerieA,2425
2024-09-22 13:00:00,Monza,Bologna,1,2,A,0.707402,1.45302,SerieA,2425
