date,group,home,away,B365H,B365D,B365A
2026-06-11,A,Mexico,South Africa,1.36,4.50,8.50
2026-06-12,A,South Korea,Czechia,2.62,3.00,2.75
2026-06-12,B,Canada,Bosnia,1.75,3.50,4.50
2026-06-13,D,USA,Paraguay,1.95,3.30,4.00
2026-06-13,B,Qatar,Switzerland,13.00,6.50,1.20
2026-06-13,C,Brazil,Morocco,1.60,3.80,5.50
2026-06-14,C,Haiti,Scotland,6.50,4.33,1.44
2026-06-14,D,Australia,Turkey,4.50,3.60,1.75
2026-06-14,E,Germany,Curacao,1.04,19.00,46.00
2026-06-14,F,Netherlands,Japan,2.00,3.50,3.60
2026-06-14,E,Ivory Coast,Ecuador,3.60,2.75,2.40
2026-06-15,F,Sweden,Tunisia,1.91,3.30,4.20
2026-06-15,H,Spain,Cape Verde,1.08,11.00,23.00
2026-06-15,G,Belgium,Egypt,1.62,3.80,5.00
2026-06-15,H,Saudi Arabia,Uruguay,7.50,4.33,1.44
2026-06-16,G,Iran,New Zealand,1.90,3.30,4.33
2026-06-16,I,France,Senegal,1.40,4.50,7.50
2026-06-16,I,Iraq,Norway,13.00,6.50,1.18
2026-06-17,J,Argentina,Algeria,1.36,4.50,9.00
2026-06-17,J,Austria,Jordan,1.29,5.00,9.50
2026-06-17,K,Portugal,DR Congo,1.22,5.50,11.00
2026-06-17,L,England,Croatia,1.70,3.70,4.75
2026-06-17,L,Ghana,Panama,2.00,3.40,3.60
2026-06-18,K,Uzbekistan,Colombia,8.50,4.50,1.36
2026-06-18,A,Czechia,South Africa,2.00,3.30,3.80
2026-06-18,B,Switzerland,Bosnia,1.57,3.80,5.50
2026-06-18,B,Canada,Qatar,1.30,5.00,9.50
2026-06-19,A,Mexico,South Korea,1.80,3.40,4.50
2026-06-19,D,USA,Australia,1.70,3.75,4.75
2026-06-19,C,Scotland,Morocco,3.80,3.30,2.00
2026-06-20,C,Brazil,Haiti,1.07,11.00,29.00
2026-06-20,D,Turkey,Paraguay,2.20,3.20,3.30
2026-06-20,F,Netherlands,Sweden,1.62,3.80,5.00
2026-06-20,E,Germany,Ivory Coast,1.50,4.20,5.50
2026-06-21,E,Ecuador,Curacao,1.20,6.00,15.00
2026-06-21,F,Tunisia,Japan,4.50,3.40,1.75
2026-06-21,H,Spain,Saudi Arabia,1.10,8.50,26.00
2026-06-21,G,Belgium,Iran,1.36,4.50,8.00
2026-06-21,H,Uruguay,Cape Verde,1.40,4.33,7.50
2026-06-22,G,New Zealand,Egypt,5.00,3.50,1.73
2026-06-22,J,Argentina,Austria,1.62,3.80,5.50
2026-06-22,I,France,Iraq,1.11,8.00,23.00
2026-06-23,I,Norway,Senegal,2.00,3.50,3.50
2026-06-23,J,Jordan,Algeria,6.00,4.00,1.53
2026-06-23,K,Portugal,Uzbekistan,1.22,5.50,11.00
2026-06-23,L,England,Ghana,1.30,5.00,9.00
2026-06-23,L,Panama,Croatia,6.50,4.20,1.50
2026-06-24,K,Colombia,DR Congo,1.44,4.00,7.50
2026-06-24,B,Bosnia,Qatar,1.50,3.80,6.00
2026-06-24,B,Switzerland,Canada,2.10,3.30,3.50
2026-06-24,C,Scotland,Brazil,7.00,4.40,1.40
2026-06-24,C,Morocco,Haiti,1.30,5.00,9.50
2026-06-25,A,Czechia,Mexico,4.20,3.40,1.85
2026-06-25,A,South Africa,South Korea,3.80,3.30,2.00
2026-06-25,E,Curacao,Ivory Coast,13.00,5.50,1.22
2026-06-25,E,Ecuador,Germany,5.00,3.80,1.62
2026-06-25,F,Japan,Sweden,2.00,3.40,3.50
2026-06-25,F,Tunisia,Netherlands,6.50,4.20,1.50
2026-06-26,D,Paraguay,Australia,2.15,3.30,3.30
2026-06-26,D,Turkey,USA,2.70,3.40,2.45
2026-06-26,I,Norway,France,4.33,3.60,1.75
2026-06-26,I,Senegal,Iraq,1.40,4.33,7.00
2026-06-27,H,Cape Verde,Saudi Arabia,2.60,3.20,2.75
2026-06-27,H,Uruguay,Spain,5.00,3.80,1.62
2026-06-27,G,New Zealand,Belgium,11.00,5.50,1.25
2026-06-27,G,Egypt,Iran,2.30,3.10,3.30
2026-06-27,L,Croatia,Ghana,1.67,3.75,5.00
2026-06-27,L,Panama,England,10.00,5.50,1.25
2026-06-27,K,Colombia,Portugal,3.30,3.30,2.15
2026-06-27,K,DR Congo,Uzbekistan,2.30,3.20,3.20
2026-06-28,J,Algeria,Austria,3.20,3.30,2.25
2026-06-28,J,Jordan,Argentina,15.00,6.50,1.17
